Player Name,Position,Team,Bye,Tier,Market Value,Floor,Median,Ceiling,Target,Fade,Notes
Josh Allen,QB,BUF,12,1,68,340,385,430,1,,Elite rushing floor + ceiling
Jalen Hurts,QB,PHI,14,1,64,330,370,420,1,,Top-tier rushing floor
Jayden Daniels,QB,WSH,14,1,58,310,355,410,1,,Breakout ceiling
Lamar Jackson,QB,BAL,13,1,60,320,365,415,,,
Patrick Mahomes,QB,KC,10,1,50,300,345,395,,,
Joe Burrow,QB,CIN,12,2,42,290,325,375,,,
Bijan Robinson,RB,ATL,12,1,62,240,290,340,1,,Tier-break RB1
Jahmyr Gibbs,RB,DET,9,1,56,220,270,325,,,
Saquon Barkley,RB,PHI,14,1,58,230,280,330,,,
Breece Hall,RB,NYJ,12,1,54,225,270,325,,,
Jahmile Addae,RB,JAX,12,2,18,120,150,190,,1,Example fade
Ja'Marr Chase,WR,CIN,12,1,58,230,275,325,1,,
CeeDee Lamb,WR,DAL,9,1,60,235,280,330,,,
Justin Jefferson,WR,MIN,13,1,57,225,270,325,,,
A.J. Brown,WR,PHI,14,1,50,215,255,305,,,
Travis Kelce,TE,KC,10,1,28,150,180,215,1,,Tier-break TE1
Sam LaPorta,TE,DET,9,1,24,140,170,210,,,
Mark Andrews,TE,BAL,13,2,18,120,150,190,,,
